sheet,subject_type,time_min,BG_mM,TG_mM,sensor_signal,signal_type
Fig1e_Calibration,calibration,,,0.0,0.0,delta_I_I0
Fig1e_Calibration,calibration,,,0.5,9.58111,delta_I_I0
Fig1e_Calibration,calibration,,,1.0,20.00062,delta_I_I0
Fig1e_Calibration,calibration,,,1.5,30.7721,delta_I_I0
Fig1e_Calibration,calibration,,,2.0,39.81526,delta_I_I0
Fig1e_Calibration,calibration,,,2.5,51.06388,delta_I_I0
Fig1e_Calibration,calibration,,,3.0,61.109,delta_I_I0
Fig2h,normal_beagle,0.0,,0.327,,delta_V_V0_pct
Fig2h,normal_beagle,0.3333333333333333,150.0,0.328,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,0.6666666666666666,300.0,0.331,,delta_V_V0_pct
Fig2h,normal_beagle,1.0,450.0,0.332,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,1.3333333333333333,600.0,0.333,,delta_V_V0_pct
Fig2h,normal_beagle,1.6666666666666667,750.0,0.334,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,2.0,900.0,0.33,133.33333,delta_V_V0_pct
Fig2h,normal_beagle,2.3333333333333335,1050.0,0.333,77.77778,delta_V_V0_pct
Fig2h,normal_beagle,2.6666666666666665,1200.0,0.33,55.55556,delta_V_V0_pct
Fig2h,normal_beagle,3.0,1350.0,0.333,33.33333,delta_V_V0_pct
Fig2h,normal_beagle,3.3333333333333335,1500.0,0.333,,delta_V_V0_pct
Fig2h,normal_beagle,3.6666666666666665,1650.0,0.332,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,4.0,1800.0,0.329,,delta_V_V0_pct
Fig2h,normal_beagle,4.333333333333333,1950.0,0.327,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,4.666666666666667,2100.0,0.33,22.22222,delta_V_V0_pct
Fig2h,normal_beagle,5.0,2250.0,0.331,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,5.333333333333333,2400.0,0.467,,delta_V_V0_pct
Fig2h,normal_beagle,5.666666666666667,2550.0,0.444,,delta_V_V0_pct
Fig2h,normal_beagle,6.0,2700.0,0.432,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,6.333333333333333,2850.0,0.409,,delta_V_V0_pct
Fig2h,normal_beagle,6.666666666666667,3000.0,0.413,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,7.0,3150.0,0.383,111.11111,delta_V_V0_pct
Fig2h,normal_beagle,7.333333333333333,,0.378,77.77778,delta_V_V0_pct
Fig2h,normal_beagle,7.666666666666667,,0.367,55.55556,delta_V_V0_pct
Fig2h,normal_beagle,8.0,,0.375,44.44444,delta_V_V0_pct
Fig2h,normal_beagle,8.333333333333334,,0.362,,delta_V_V0_pct
Fig2h,normal_beagle,8.666666666666666,,0.369,,delta_V_V0_pct
Fig2h,normal_beagle,9.0,,0.36,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,9.333333333333334,,0.361,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,9.666666666666666,,0.348,,delta_V_V0_pct
Fig2h,normal_beagle,10.0,,0.328,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,10.333333333333334,,0.326,,delta_V_V0_pct
Fig2h,normal_beagle,10.666666666666666,,0.33,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,11.0,,0.333,22.22222,delta_V_V0_pct
Fig2h,normal_beagle,11.333333333333334,,0.332,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,11.666666666666666,,0.329,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,12.0,,0.327,122.22222,delta_V_V0_pct
Fig2h,normal_beagle,12.333333333333334,,0.327,88.88889,delta_V_V0_pct
Fig2h,normal_beagle,12.666666666666666,,0.325,55.55556,delta_V_V0_pct
Fig2h,normal_beagle,13.0,,0.328,22.22222,delta_V_V0_pct
Fig2h,normal_beagle,13.333333333333334,,0.329,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,13.666666666666666,,0.328,,delta_V_V0_pct
Fig2h,normal_beagle,14.0,,0.326,11.11111,delta_V_V0_pct
Fig2h,normal_beagle,14.333333333333334,,0.325,22.22222,delta_V_V0_pct
